,MetadataField,Metadata
0,NSGL Document #:,CUIMR-T-96-002
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Fire and life safety assessment and indexing methodology II (FLAIM II): development and test plan
3,Author:,"Hee, Derek D."
4,,"Bea, Robert"
5,,"Roberts, Karlene"
6,,"Williamson, Robert"
7,Publication Year :,1996
8,# Pages / Video Length:,51
9,Publication Type:,technical reports/surveys​/patents
10,Project #:,R/OE-28
11,Abstract:,"Fire and Life Safety Assessment and Indexing Methodology II (FLAIM II) incorporates information concerning human organizational factors into the evaluation of offshore platform and terminal safety. The methodology is based on assigning values for both likelihood and consequence in order to determine relative risk for each category of hazard. Highest risk categories can then be targeted for risk reduction. Training of risk assessors is divided into informational sessions, followed by hands-on use of the FLAIM II methodology."
