,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-91-063
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Antimicrobial N-​methylpyridiniu​m salts related to the xestamines from the Caribbean sponge ""Calyx podatypa"""
3,Author:,"Stierle, Donald B."
4,,"Faulkner, D. John"
5,Publication Year :,1991
6,Source Citation:,"""Journal of Natural Products,"" 54(4):1134-​1136, July-August 1991."
7,# Pages / Video Length:,3
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/MP-46
10,Abstract:,"Two antimicrobial fractions were obtained from the sponge ""Calyx podatypa"" from the Bahamas. This paper reports the isolation and identification of two new 3-substituted pyridines, xestamines D and E together with a series of N-methyl salts, xestamines F, G, and H, from ""Calyx podatypa"" (Haplosclerada) collected at Jamaica Bay, Acklins Island, Bahamas, at a depth of 28 m."
