,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-88-026
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Control of prolactin and growth hormone secretion in teleost fishes
3,Author:,"Nishioka, Richard S."
4,,"Kelley, Kevin M."
5,,"Bern, Howard A."
6,Publication Year :,1988
7,Source Citation:,"""Zoological Science,"" 5:267-280, 1988."
8,Publication Type:,reprints (peer-reviewed)
9,Abstract:,"In teleost fish, hypothalamic fibers terminate in proximity to adenohypophysia​l cells of the pituitary, thereby circumventing a functional median eminence and a hypophysial portal system, structures considered to be both ancient and conservative in vertebrate evolution. Thus, unlike the situation in most other vertebrates, teleosts have a more or less direct neural control of pituitary function. The focus of this review is the control of prolactin and growth hormone secretion in teleosts, with primary emphasis on the tilapia."
