,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-96-001
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Molecular technique for rapid identification of mycobacteria
3,Author:,"Avaniss-​Aghajani, Erik"
4,,"Jones, Kenneth"
5,,"Holtzman, Alan"
6,,"Aronson, Tim"
7,,"Glover, Norman"
8,,"Boian, Mark"
9,,"Froman, Seymour"
10,,"Brunk, Clifford F."
11,Publication Year :,1996
12,Source Citation:,"""Journal of Clinical Microbiology,"" 34(1):98-102, January 1996."
13,# Pages / Video Length:,5
14,Publication Type:,reprints (peer-reviewed)
15,Project #:,R/MP-63
16,Abstract:,"Identification of mycobacteria through conventional microbiological methods is cumbersome and time-consuming. Recently a novel bacterial identification method to accurately and rapidly identify different mycobacteria directly from water and clinical isolates. The method utilizes the PCR to amplify a portion of the small subunit rRNA from mycobacteria. An analysis of these data demonstrates that this protocol is effective in identifying 13 different mycobacterial species, has the potential of rapidly (less than 36 h) identifying mycobacterial species directly from clinical specimens, and is capable of identifying multiple organisms in a single sample."
