,MetadataField,Metadata
0,NSGL Document #:,CASG-R-11-021
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Effects of engineered nanoparticles on the assembly of exopolymeric substances from phytoplankton
3,Author:,"Chen, Chi-Shuo"
4,,"Anaya, Jesse M."
5,,"Zhng, Saijin"
6,,"Spurgin, Jessica"
7,,"Chuang, Chia-Ying"
8,,"Zu, Chen"
9,,"Miao, Ai-Jun"
10,,"Chen, Eric Y-T"
11,,"Schwehr, Kathleen A."
12,,"Jiang, Yuelu"
13,,"Quigg, Antoinietta"
14,,"Santschi, Peter H."
15,,"Chin, Wei-Chun"
16,Publication Year :,2011
17,Source Citation:,"""PLoS ONE,"" 6(7), July 2011."
18,# Pages / Video Length:,7
19,Publication Type:,reprints (peer-reviewed)
20,Project #:,R/CONT-213
21,Abstract:,"The unique properties of engineered nanoparticles (ENs) that make their industrial applications so attractive simultaneously raise questions regarding their environmental safety. ENs exhibit behaviors different from bulk materials with identical chemical compositions. Though the nanotoxicity of ENs has been studied intensively, their unintended environmental impacts remain largely unknown. Herein we report experimental results of EN interactions with exopolymeric substances (EPS) from three marine phytoplankton species: Amphora sp., Ankistrodesmus angustus and Phaeodactylum tricornutum. EPS are polysaccharide-​rich anionic colloid polymers released by various microorganisms that can assemble into microgels, possibly by means of hydrophobic and ionic mechanisms. Polystyrene nanoparticles (23 nm) were used in our study as model ENs. The effects of ENs on EPS assembly were monitored with dynamic laser scattering (DLS). We found that ENs can induce significant acceleration in Amphora sp. EPS assembly; after 72 hours EN-EPS aggregation reached equilibrium, forming microscopic gels of ,4-6 mm in size. In contrast, ENs only cause moderate assembly kinetic acceleration for A. angustus and P. tricornutum EPS samples. Our results indicate that the effects of ENs on EPS assembly kinetics mainly depend on the hydrophobic interactions of ENs with EPS polymers. The cycling mechanism of EPS is complex. Nonetheless, the change of EPS assembly kinetics induced by ENs can be considered as one potential disturbance to the marine carbon cycle."
