,MetadataField,Metadata
0,NSGL Document #:,CASG-R-11-057
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"A common scaling rule for abundance, energetics, and production of parasitic and free-living species"
3,Author:,"Hechinger, Ryan F."
4,,"Lafferty, Kevin D."
5,,"Dobson, Andy P."
6,,"Brown, James H."
7,,"Kuris, Armand M."
8,Publication Year :,2011
9,Source Citation:,"""Science,"" 333:445-448, July 2011."
10,DOI #:,10.1126/science​.1204337
11,# Pages / Video Length:,5
12,Publication Type:,reprints (peer-reviewed)
13,Project #:,R/OPCENV-01
14,Abstract:,"The metabolic theory of ecology uses the scaling of metabolism with body size and temperature to explain the causes and consequences of species abundance. However, the theory and its empirical tests have never simultaneously examined parasites alongside free-living species. This is unfortunate because parasites represent at least half of species diversity. We show that metabolic scaling theory could not account for the abundance of parasitic or free-living species in three estuarine food webs until accounting for trophic dynamics. Analyses then revealed that the abundance of all species uniformly scaled with body mass to the -3/4 power. This result indicates ""production equivalence,"" where biomass production within trophic levels is invariant of body size across all species and functional groups: invertebrate or vertebrate, ectothermic or endothermic, and free-living or parasitic."
