,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-91-043
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Using spectroscopic and database strategies to unravel structures of polycyclic bioactive marine sponge sesterterpenes
3,Author:,"Crews, Phillip"
4,,"Jimenez, Carlos"
5,,"O'Neil-Johnson, Mark"
6,Publication Year :,1991
7,Source Citation:,"""Tetrahedron,"" 47(22):3585-​3600, 1991."
8,# Pages / Video Length:,16
9,Publication Type:,reprints (peer-reviewed)
10,Project #:,R/MP-41
11,Notes:,elucidation
12,Abstract:,"Three new tricyclic sesterterpenes, aplysolides A and B and aplyolide A, have been characterized from an ""Aplysinopsis"" Indo- Pacific marine sponge. The structure elucidation of these compounds was accomplished using data from a new generation of 2D NMR strategies including multiple quantum coherence (HMQC and HMBC) and rotating frame NOE (ROESY). An additional approach during the early phases of structure elucidation made use of a personal database with searchable fields including substructures, APT formulae, and molecular formulae. The procedures are described."
