,MetadataField,Metadata
0,NSGL Document #:,ORESU-N-86-003
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"Ocean Law Memo (Issue 28, May 1986)"
3,Author:,"Begnaud, Mark"
4,Editor :,"Hildreth, Richard G."
5,Publication Year :,1986
6,# Pages / Video Length:,12
7,Publication Type:,periodicals
8,Program Report #:,ORESU-N-86-003
9,Grant/Contract #:,NOAA Sea Grant
10,Notes:,One newsletter issue for 1986.
11,Abstract:,"The Ocean Law Memo is an aperiodic publication of the University of Oregon Ocean Resources Law Program (ORLP) and is distributed by the OSU Extension Service, Sea Grant Marine Advisory Program. at the University of Oregon Law School in Eugene, Oregon. The ORLP is supported in part by the U. S. Department of Commerce, National Oceanic and Atmospheric Administration'​s (NOAA) Sea Grant Program, through the Oregon Sea Grant College Program at Oregon State University. The following topic is in this issue: Recent Developments in Ocean and Coastal Law, 1984-1985, International Developments."
