,MetadataField,Metadata
0,NSGL Document #:,ORESU-G1-79-005
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,LORAN-C RECEIVERS: FINANCIAL CONSIDERATIONS OF CONVERSION
3,Author:,"SMITH, FREDERICK J."
4,Publication Year :,1979
5,Publisher:,OSU Sea Grant Extension Program
6,# Pages / Video Length:,4
7,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
8,Program Report #:,ORESU-​G1-​79-​005; SG 56
9,Grant/Contract #:,NOAA Sea Grant
10,Abstract:,Loran is an electronic system that helps boaters determine their position at sea. Shore-based stations transmit radio signals that are read by onboard receivers. Keywords: MARINE ELECTRONICS; ECONOMICS; Marine Business Management.
