,MetadataField,Metadata
0,NSGL Document #:,ORESU-NR-19-001
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,From Dissolution to Solution: New approaches to teaching ocean acidification
3,Author:,"Erickson, Brian"
4,,"Crews, Tracy"
5,Publication Year :,2019
6,Source Citation:,"The Science Teacher, 86(5):56-63, January 2019"
7,# Pages / Video Length:,8
8,Publication Type:,reprints (not peer-reviewed)
9,Program Report #:,ORESU-NR-19-001
10,Grant/Contract #:,NA180AR4170072
11,Project #:,A/E/C-OED 2018-21
12,Abstract:,"This article provides a brief overview of the Changing Ocean Chemistry module. The complete curriculum, available online, provides numerous resources for teachers including a downloadable PDF with lesson plans, sample  scripting, teacher answer keys, educator background information, standards addressed, student handouts, video clips, and PowerPoint presentations."
