,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-00-021
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"Lyngbyabellin B, a toxic and antifungal secondary metabolite from the marine cyanobacterium ""Lyngbya majuscula."""
3,Author:,"Milligan, Kenneth E."
4,,"Marquez, Brian L."
5,,"Williamson, R. Thomas"
6,,"Gerwick, William H."
7,Publication Year :,2000
8,Source Citation:,"""Journal of Natural Products,"" 63(10):1440-​1443, 2000."
9,# Pages / Video Length:,4
10,Publication Type:,reprints (peer-reviewed)
11,Program Report #:,ORESU-R-00-021
12,Project #:,R/BT-18
13,Abstract:,"Lyngbyabellin B was isolated from a marine cyanobacterium, ""Lyngbya majuscula,"" collected near the Dry Tortugas National Park, Florida. This new cyclic depsipeptide displayed potent toxicity toward brine shrimp and the fungus ""Candida albicans."" The planar structure was deduced using 1D and 2D NMR spectroscopic methods, and the stereochemistry is proposed through a combination of NMR and chiral GC/MS analysis."
