,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-98-015
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Electrical properties of fish mince during multi- frequency ohmic heating
3,Author:,"Wu, H."
4,,"Kolbe, E."
5,,"Flugstad, B."
6,,"Park, J. W."
7,,"Yongsawatdigul, J."
8,Publication Year :,1998
9,Source Citation:,"""Journal of Food Science,"" 63(6):1028-​1032, 1998."
10,# Pages / Video Length:,5
11,Publication Type:,reprints (peer-reviewed)
12,Program Report #:,ORESU-R-98-015
13,Project #:,R/SF-7
14,Abstract:,"Protease enzymes in fish mince break down proteins and inhibit gelling. Enzyme inhibitors present their own disadvantages. This research investigated ohmic, or electrical resistive, heat generated internally due to the electrical resistance of the mince as an alternative to enzyme inhibitors. Results are described."
