,MetadataField,Metadata
0,NSGL Document #:,OREXT-G-86-001
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Coos Bay Estuary Public Access Guide
3,Author:,"Newman, Kathy Pete"
4,,"Good, James W."
5,Publication Year :,1986
6,Publisher:,Oregon State University Extension Service
7,# Pages / Video Length:,6
8,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
9,Program Report #:,SG 80; OREXT-G-86-001
10,Grant/Contract #:,NOAA Sea Grant
11,Abstract:,"Among Oregon's estuaries, Coos Bay is second in size only to the Columbia River Estuary. Numerous sloughs and inlets extend off the main bay, home to a wide variety of plant and animal life. Although alteration has been extensive, there are still important fish and wildlife habitat areas, including the South Slough National Estuarine Sanctuary (the first in the nation to be so designated). This folder tells a little about the Coos Bay Estuary, a few of the many species that inhabit it, and places where visitors can go."
