,MetadataField,Metadata
0,NSGL Document #:,ORESU-WR-09-004
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Clinical assessment of aquarium life support systems
3,Author:,"Miller-Morgan, Tim"
4,,"Glaze, Dennis"
5,Publication Year :,2009
6,Source Citation:,"""American Veterinary Medical Association Annual Conference,"" Seattle, Washington, July 11-14, 2009."
7,# Pages / Video Length:,3
8,Publication Type:,reprints (not peer-reviewed)
9,Program Report #:,ORESU-WR-09-004
10,Project #:,A/ESG-07
