,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-07-010
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Effect of NaCl on gelation characteristics of acid- and alkali-treated Pacific whiting fish protein isolates
3,Author:,"Thawornchinsomb​ut, Supawan"
4,,"Park, Jae W."
5,Publication Year :,2007
6,Source Citation:,"""Journal of Food Biochemistry,"" 31(4):427-455, 2007."
7,# Pages / Video Length:,29
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,ORESU-R-07-010
10,Project #:,R/SF-24
11,Abstract:,"The physicochemical properties of gels prepared from Pacific whiting protein isolated at pH 3 and 11 with three concentrations of NaCl were characterized after a pH readjustment to 7.0. The strongest gels were obtained from fish protein isolate (FPI) prepared at pH 11/150-mM NaCl and conventional surimi. The protein solubilities of FPI treatments did not contribute significantly to their gel properties. Surface hydrophobicity and differential scanning calorimetry demonstrated that, in addition to adjusting the pH to 3 or 11, salt addition during protein solubilization and subsequent recovery at the isoelectric point (pI) led to protein denaturation. Rheological study indicated that gelation mechanisms of FPI were identical with the same NaCl concentration regardless of pH. The FPI prepared at pH 3 or 11 with NaCl could be partly refolded at pH 7. Nevertheless, some myosin fragments and actin did not refold."
