,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-82-039
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,REGULATING FILLS IN ESTUARIES: THE PUBLIC TRUST DOCTRINE IN OREGON
3,Author:,"CHAPMAN, CHEYENNE"
4,Publication Year :,1982
5,Source Citation:,"OREGON LAW REVIEW, 61(04):523-560, 1982"
6,# Pages / Video Length:,38
7,Publication Type:,reprints (peer-reviewed)
8,Program Report #:,ORESU-R-82-039
9,Grant/Contract #:,NOAA SEA GRANT
10,Project #:,R/PPA-17
11,Abstract:,COASTAL ZONE;DEVELOPMEN​T;LAW;ESTUARY;O​REGON
