,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-07-012
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"Groundwater surface trends from ground penetrating radar (GPR) profiles taken across Late Holocene barriers and beach plains of the Columbia River littoral system, Pacific Northwest Coast, USA"
3,Author:,"Peterson, Curt D."
4,,"Jol, Harry M."
5,,"Percy, David"
6,,"Nielson, Eric L."
7,Publication Year :,2007
8,Source Citation:,"""Stratigraphic Analysis using GPR,"" The Geological Society of America Special Paper #432, G. S. Baker and H. M. Jol, eds., pp. 59-76, 2007."
9,DOI #:,10.1130/2007.24​32(05)
10,# Pages / Video Length:,18
11,Publication Type:,reprints (peer-reviewed)
12,Program Report #:,ORESU-R-07-012
13,Project #:,R/SD-04
14,Abstract:,"Ground penetrating radar (GPR) records of groundwater surface (GWS) reflections have been analyzed from 40 across-barrier profiles, totaling 50 km in combined length, taken from barrier spits and beach plains of the Columbia River littoral system. The barriers and beach plains host shallow fresh-water aquifers in the prograded beach deposits and abandoned foredune ridges, totaling 10?30 m in thickness. Study results demonstrate that GWS reflections could be traced continuously at subsurface depths of 1?15 m with the GPR 100 MHz and 50 MHz antennae using 400 V and 1000 V transmitters. Boreholes (62 in number) and lake water levels (24 in number) provide ground-truthing of the across-barrier GWS trends interpreted from the GPR profiles. The GWS rises in elevation (4?8 m above base level) under high, broad foredune-ridges and drops under interdune ridge valleys (1?3 m above base level). Continuous profiles of GWS demonstrate that lakes, ponds, and bogs of the barriers and beach plains are ""windows"" into the shallow coastal aquifer. The GPR records demonstrate that the GWS slopes either to seaward (0.003?0.04 gradient) or to landward (0.001?0.05 gradient) from divides under the largest, shore-parallel dune ridges in the barriers. The GWS gradients indicate that subsurface contaminant transport from the developed dune ridges will be intercepted by intervening lakes and ponds in the interdune-ridge valleys. The GPR records also establish the effect of drainage ditches in lowering GWS elevations (1?2 m) in sensitive wetlands located 100s of meters in distance from the constructed ditches."
