,MetadataField,Metadata
0,NSGL Document #:,WASHU-E-18-003
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Watershed Science and Management Module
3,Author:,"Blake, Susan"
4,Publication Year :,2018
5,# Pages / Video Length:,78
6,Publication Type:,educational materials
7,Program Report #:,WSG-AS 18-05
8,Project #:,A/ACE-1
9,Abstract:,"The Watershed Science and Management Module is part of the larger Master Naturalist program being developed by WSU for use throughout the state. The Watershed module learning objectives are: to describe what a watershed is, how water moves throughout it, and water properties integral to water quality; to Identify water resources in watersheds and how they are used; to understand the legal framework essential to understanding water quality and quantity/supply​; to identify major human threats and impacts on water resources; to understand the role of watershed management in addressing threats and examples of watershed plans.to understand individual actions that can be taken to protect watersheds. Topics covered in this module: Module Overview and introduction; Lesson 1: Introduction to watersheds; Lesson 2: How we use our water resources; Lesson 3: Human threats and impacts on watersheds and water resources; Lesson 4: Water quality and quantity regulations to know; Lesson 5: Watershed management principles and case studies; and Lesson 6: What you can do."
