,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-98-006
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,The economic performance of marine stock enhancement projects
3,Author:,"Hilborn, Ray"
4,Publication Year :,1998
5,Source Citation:,"""Bulletin of Marine Science,"" 62(2):661-674, 1998."
6,# Pages / Video Length:,14
7,Publication Type:,reprints (peer-reviewed)
8,Program Report #:,WSG-TA 00-04
9,Project #:,R/F-105
10,Abstract:,"This report reviews nine marine stocking programs for which biological or economic measures of success were available. Only one was determined to be a clear economic success, and five were determined to be clear economic failures. The author discusses costs, benefits, criteria for successful stocking, and individual case studies of programs throughout the world."
