,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-92-008
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Rapid isolation of high molecular weight DNA from marine macroalgae
3,Author:,"Shivji, M. S."
4,,"Rogers, S. O."
5,,"Stanhope, M. J."
6,Publication Year :,1992
7,Source Citation:,"""Marine Ecology Progress Series,"" 84:197-203, 1992."
8,# Pages / Video Length:,7
9,Publication Type:,reprints (peer-reviewed)
10,Program Report #:,WSG-TA 92-08
11,Project #:,R/A-58
12,Abstract:,"Application of molecular techniques to study marine macroalgae is in its infancy, and is likely to be facilitated by the ability to routinely isolate high quality DNA from these plants. The generally high polysaccharide and polyphenol content in macroalgae, however, often interferes with the isolation and subsequent enzymatic manipulation of their nucleic acids. A CTAB method for the isolation of high molecular weight DNA is rapid, simple, inexpensive, does not require density gradient ultracentrifuga​tion, and has general applicability to red, brown and green seaweeds. The isolated DNA appears sufficiently pure for application of most commonly used molecular techniques such as restriciton endonuclease digestion, Southern blot hybridization, cloning, and amplification using the polymerase chain reaction."
