,MetadataField,Metadata
0,NSGL Document #:,AKU-W-90-003
1,Sea Grant Program/Affiliate:,Alaska Sea Grant
2,Title:,Proceedings of the International Herring Symposium 1990
3,Author:,"Melteff, Brenda (Coordinator)"
4,,"Keller, Sue (Compiler)"
5,,"Sporleder, Lisa (Compiler)"
6,Editor :,"Wespestad, Vidar"
7,,"Collie, Jeremy"
8,,"Collie, Elizabeth"
9,Publication Year :,1991
10,Source Citation:,"Proceedings of the International Herring Symposium, Ninth (9th) Lowell Wakefield Fisheries Symposium Series, Anchorage, Alaska, October 23-25, 1990"
11,Publisher:,University of Alaska Sea Grant College Program
12,# Pages / Video Length:,672
13,Publication Type:,conference/work​shop proceedings
14,Program Report #:,AK-SG-91-01
15,,Alaska Sea Grant Report No. 91-01
16,Grant/Contract #:,NA90AA-D-SG066
17,Project #:,A/75-01
18,Abstract:,"The two species of herring discussed at this symposium have supported commercial fisheries worldwide for centuries. In the Atlantic Ocean fishing pressure increased to the point of serious depletion of herring stocks; however, because of effective management over the last 20 years, some of the stocks have recovered. Scientists, managers, and policy makers at the symposium explored new developments in population regulation and stock structure, considered harvest policy evaluation, and reported recent research on the early life history of Atlantic and Pacific herring."
