,MetadataField,Metadata
0,NSGL Document #:,WASHU-P-01-001
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,"Versatile Surface Plasmon Resonance Biosensors (United States Patent No. 6,239,255)"
3,Author:,"Furlong, Clement E."
4,,"Woodbury, Richard"
5,Publication Year :,2001
6,Source Citation:,"United States Patent and Trademark Office, Patent No. 6,239,255, May 29, 2001"
7,Publisher:,University of Washington Sea Grant Program
8,# Pages / Video Length:,17
9,Publication Type:,technical reports/surveys​/patents
10,Program Report #:,WSG-TA 02-10
11,Project #:,R/B-27
12,,R/OT-21
13,Abstract:,"A method of binding a recognition element to a gold surface (24) comprising the steps of attaching a GBP-AP protein (10) to a gold surface (24), digesting away the AP domain of the protein (10) with a proteolytic enzyme from the bound GBP domain (12) attached to the gold surface (24), and attaching a recognition element, such as Protein A(52) or an antibody 72, antigen, nucleic acid or other binding partner to the GBP domain (12) which remains on the gold surface (24), is disclosed. The date of Patent was May 29, 2001. While this invention has been described in reference to illustrative embodiments, this description is not intended to be construed in a limiting sense. Various modifications and combinations of the illustrative embodiments, as well as other embodiments of the invention, will be apparent to persons skilled in the art upon reference to the description. It is therefore intended that the appended claims encompass any such modifications or embodiments."
