,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-87-005
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Scientific rationale for establishing long-term ocean bottom observatory/lab​oratory systems
3,Author:,"Delaney, John R."
4,,"Spiess, Fred N."
5,,"Solomon, Sean C."
6,,"Hessler, Robert"
7,,"Karsten, Jill L."
8,,"Baross, John A."
9,,"Holcomb, Robin T."
10,,"Norton, Denise"
11,,"McDuff, Russell E."
12,,"Sayles, Fred"
13,,"Whitehead, John Jr."
14,,"Abbott, Dallas"
15,,"Olsen, LeRoy"
16,Publication Year :,1987
17,Source Citation:,"""Marine Minerals,"" pp. 389-411, 1987."
18,Publication Type:,reprints (peer-reviewed)
19,Program Report #:,WSG-TA 87-5
20,Abstract:,"Since the end of World War II, exploration and mapping of the ocean basins has intensified and has become increasingly sophisticated. The rapidly developing technologies of swath mapping, seismic profiling, and global positioning systems will soon provide an unparalleled capacity for spatial resolution of features on and beneath the ocean floor over a broad spectrum of scales. Recent discoveries indicate that many fundamental geological, chemical and biological processes are concentrated within a relatively narrow band centered on the oceanic rift zones or spreading centers. With a philosophy akin to that which underlay the establishment of magnetic, astronomical and volcano observatories, it is feasible for the oceanographic community to initiate a major international program leading to the installation of one or more permanent `observatories' on the floor of the ocean. The goal of this program would be to document and model changes in related processes occurring at an active ridge crest over a time span during which those processes show significant variation."
