,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-93-013
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Metabolic rates, enzyme activities and chemical compositions of some deep-sea pelagic worms, particularly ""Nectonemertes mirabilis"" (Nemertea; Hoplonemertinea​) and ""Poeobius meseres"" (Annelida; Polychaeta)"
3,Author:,"Thuesen, Erik V."
4,,"Childress, James J."
5,Publication Year :,1993
6,Source Citation:,"""Deep-Sea Research I,"" 40(5):937-951, 1993."
7,# Pages / Video Length:,15
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,E/G-10-8B
10,Abstract:,"In order to gain a more comprehensive knowledge of the metabolic capabilities of zooplankton, other than crustaceans, from the deep sea, studies were undertaken on two abundant deep-sea pelagic worms, ""Nectonemertes mirabilis"" and ""Poeobius meseres"". Metabolic potentials of these worms were estimated by measuring the activities of several key enzymes involved in aerobic and anaerobic metabolism and investigating the correlation of these activities with oxygen consumption rates. Analyses of water, protein, lipid, carbohydrate, carbon and nitrogen, followed by calculations of energy contents, were also undertaken. Studies on the biochemistry and physiology of these animals will help us to understand how their energy is stored and utilized, and possibly shed light on their ecological relationships."
