,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-00-024
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Development of an anti-vitellin ELISA for the assessment of reproduction in the ridgeback shrimp, ""Sicyonia ingentis."""
3,Author:,"Tsukimura, B."
4,,"Bender, J. S."
5,,"Linder, C. J."
6,Publication Year :,2000
7,Source Citation:,"""Comparative Biochemistry and Physiology Part A,"" 127:215-224, 2000."
8,# Pages / Video Length:,10
9,Publication Type:,reprints (peer-reviewed)
10,Project #:,R/A-1PD
11,Abstract:,"Vitellogenesis involves the production of yolk proteins that act as nutrient sources for developing embryos. Vitellin (Vn), often a lipoglycoprotei​n, is the common form of yolk stored in eggs. Here researchers studied Vn synthesis to investigate reproductive regulation in the ridgeback shrimp, ""Sicyonia ingentis."" They developed and characterized an anti-Vn antibody, and developed an enzyme linked immunosorbent assay (ELISA) to monitor fluctuations in hemolymph levels of yolk proteins. The ELISA was also used to determine the effects of steroid hormone injections in adult nonreproductive female shrimp."
