,MetadataField,Metadata
0,NSGL Document #:,CASG-R-02-042
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,The effects of dispersal patterns on marine reserves: does the tail wag the dog?
3,Author:,"Lockwood, Dale R."
4,,"Hastings, Alan"
5,,"Botsford, Louis W."
6,Publication Year :,2002
7,Source Citation:,"""Theoretical Population Biology,"" 61:297-309, 2002."
8,# Pages / Video Length:,13
9,Publication Type:,reprints (peer-reviewed)
10,Project #:,R/F-179
11,Abstract:,"To determine the appropriate size of marine reserves and the distances between reserves, an understanding of the requirements for persistence of local populations is required. Understanding the robustness of theoretical results to larval dispersal is of key importance. Larval dispersal is represented by a probability distribution that defines the fraction of successful settlers from an arbitrary location, the origin of the distribution, to any other location along the coast. The authors formulate models based on integrodifferen​ce equations that are spatially continuous and temporally discrete. The effects of different dispersal patterns are considered for a single isolated reserve of varying size, and for multiple reserves with varying degrees of connectivity. While different patterns result in quantitative differences in persistence, qualitatively similar effects across all patterns are seen in both single and multiple reserve models."
